255	255	180
102	255	255
0	255	204
0	255	255
0	255	0
51	51	255
153	0	204
102	153	255
255	192	201
153	204	255
255	51	0
0	153	255
204	0	51
102	102	255
102	0	102
0	102	102
255	204	0
153	51	0
255	0	0
153	102	0
51	153	255
255	153	0
51	255	51
255	0	255
204	0	153
153	204	0
102	204	255
153	153	255
0	204	204
102	0	0
255	240	191
255	102	0
255	255	051
255	153	51
0	204	244
0	51	255
255	224	203
255	102	204
0	0	153
255	255	153
255	204	204
204	255	153
204	204	255
255	164	200
204	255	51
204	153	255
204	255	204
153	255	0
255	175	201
204	255	255
51	102	255
255	208	202
204	102	0
204	255	0
255	204	153
255	153	200
255	102	153
255	51	102
102	153	0
51	255	204
204	255	102
0	153	153
255	102	102
204	153	0
0	0	255
255	0	102
0	102	255
153	255	153
153	51	255
204	51	255
153	0	153
255	204	255
255	153	153
255	153	255
159	159	159
96	96	96
223	223	223
128	128	128
64	64	64
32	32	32
191	191	191
255	64	0
207	255	48
