Parameters: 
   graphfile = /var/tmp/dgleich/data/uk-2007-05-trans
      output = none
         alg = gs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 105896555
edges = -556233648
gs(0.9900,0,0) with tol=1.000000e-07 and maxit= 10000 iterations
   gs : iter =      1 ; delta = 2.000000e+00 ; diff = 1.690013e+00 ; dt =    77.3 sec ; nmult =      1
   gs : iter =      2 ; delta = 2.000000e+00 ; diff = 5.564637e-01 ; dt =   153.2 sec ; nmult =      2
   gs : iter =      3 ; delta = 2.000000e+00 ; diff = 2.054403e-01 ; dt =   229.0 sec ; nmult =      3
   gs : iter =      4 ; delta = 2.000000e+00 ; diff = 1.158145e-01 ; dt =   304.9 sec ; nmult =      4
   gs : iter =      5 ; delta = 2.000000e+00 ; diff = 8.389645e-02 ; dt =   380.2 sec ; nmult =      5
   gs : iter =      6 ; delta = 2.000000e+00 ; diff = 6.631582e-02 ; dt =   455.5 sec ; nmult =      6
   gs : iter =      7 ; delta = 2.000000e+00 ; diff = 5.431655e-02 ; dt =   530.9 sec ; nmult =      7
   gs : iter =      8 ; delta = 2.000000e+00 ; diff = 4.562293e-02 ; dt =   606.2 sec ; nmult =      8
   gs : iter =      9 ; delta = 2.000000e+00 ; diff = 3.929757e-02 ; dt =   681.6 sec ; nmult =      9
   gs : iter =     10 ; delta = 2.000000e+00 ; diff = 3.443961e-02 ; dt =   756.8 sec ; nmult =     10
   gs : iter =     11 ; delta = 2.000000e+00 ; diff = 3.057318e-02 ; dt =   832.0 sec ; nmult =     11
   gs : iter =     12 ; delta = 2.000000e+00 ; diff = 2.739335e-02 ; dt =   907.3 sec ; nmult =     12
   gs : iter =     13 ; delta = 2.000000e+00 ; diff = 2.474579e-02 ; dt =   982.5 sec ; nmult =     13
   gs : iter =     14 ; delta = 2.000000e+00 ; diff = 2.249460e-02 ; dt =  1057.8 sec ; nmult =     14
   gs : iter =     15 ; delta = 2.000000e+00 ; diff = 2.056141e-02 ; dt =  1133.1 sec ; nmult =     15
   gs : iter =     16 ; delta = 2.000000e+00 ; diff = 1.887759e-02 ; dt =  1208.4 sec ; nmult =     16
   gs : iter =     17 ; delta = 2.000000e+00 ; diff = 1.739920e-02 ; dt =  1283.6 sec ; nmult =     17
   gs : iter =     18 ; delta = 2.000000e+00 ; diff = 1.608895e-02 ; dt =  1358.8 sec ; nmult =     18
   gs : iter =     19 ; delta = 2.000000e+00 ; diff = 1.492455e-02 ; dt =  1434.2 sec ; nmult =     19
   gs : iter =     20 ; delta = 2.000000e+00 ; diff = 1.388286e-02 ; dt =  1509.4 sec ; nmult =     20
   gs : iter =     21 ; delta = 2.000000e+00 ; diff = 1.294967e-02 ; dt =  1584.8 sec ; nmult =     21
   gs : iter =     22 ; delta = 2.000000e+00 ; diff = 1.211103e-02 ; dt =  1660.1 sec ; nmult =     22
   gs : iter =     23 ; delta = 2.000000e+00 ; diff = 1.135299e-02 ; dt =  1735.4 sec ; nmult =     23
   gs : iter =     24 ; delta = 2.000000e+00 ; diff = 1.066756e-02 ; dt =  1810.6 sec ; nmult =     24
   gs : iter =     25 ; delta = 2.000000e+00 ; diff = 1.004350e-02 ; dt =  1885.9 sec ; nmult =     25
   gs : iter =     26 ; delta = 2.000000e+00 ; diff = 9.472278e-03 ; dt =  1961.2 sec ; nmult =     26
   gs : iter =     27 ; delta = 2.000000e+00 ; diff = 8.944908e-03 ; dt =  2036.5 sec ; nmult =     27
   gs : iter =     28 ; delta = 2.000000e+00 ; diff = 8.459783e-03 ; dt =  2111.7 sec ; nmult =     28
   gs : iter =     29 ; delta = 2.000000e+00 ; diff = 8.010304e-03 ; dt =  2187.0 sec ; nmult =     29
   gs : iter =     30 ; delta = 2.000000e+00 ; diff = 7.593656e-03 ; dt =  2262.2 sec ; nmult =     30
   gs : iter =     31 ; delta = 2.000000e+00 ; diff = 7.208714e-03 ; dt =  2337.5 sec ; nmult =     31
   gs : iter =     32 ; delta = 2.000000e+00 ; diff = 6.850477e-03 ; dt =  2412.7 sec ; nmult =     32
   gs : iter =     33 ; delta = 2.000000e+00 ; diff = 6.514913e-03 ; dt =  2488.0 sec ; nmult =     33
   gs : iter =     34 ; delta = 2.000000e+00 ; diff = 6.202314e-03 ; dt =  2563.3 sec ; nmult =     34
   gs : iter =     35 ; delta = 2.000000e+00 ; diff = 5.908905e-03 ; dt =  2638.6 sec ; nmult =     35
   gs : iter =     36 ; delta = 2.000000e+00 ; diff = 5.633161e-03 ; dt =  2714.1 sec ; nmult =     36
   gs : iter =     37 ; delta = 2.000000e+00 ; diff = 5.374982e-03 ; dt =  2789.4 sec ; nmult =     37
   gs : iter =     38 ; delta = 2.000000e+00 ; diff = 5.131777e-03 ; dt =  2864.7 sec ; nmult =     38
   gs : iter =     39 ; delta = 2.000000e+00 ; diff = 4.902682e-03 ; dt =  2939.9 sec ; nmult =     39
   gs : iter =     40 ; delta = 2.000000e+00 ; diff = 4.687578e-03 ; dt =  3015.1 sec ; nmult =     40
   gs : iter =     41 ; delta = 2.000000e+00 ; diff = 4.484417e-03 ; dt =  3090.4 sec ; nmult =     41
   gs : iter =     42 ; delta = 2.000000e+00 ; diff = 4.292779e-03 ; dt =  3165.7 sec ; nmult =     42
   gs : iter =     43 ; delta = 2.000000e+00 ; diff = 4.112095e-03 ; dt =  3241.0 sec ; nmult =     43
   gs : iter =     44 ; delta = 2.000000e+00 ; diff = 3.941204e-03 ; dt =  3316.2 sec ; nmult =     44
   gs : iter =     45 ; delta = 2.000000e+00 ; diff = 3.778788e-03 ; dt =  3391.5 sec ; nmult =     45
